道路名称,日期,时,分,路况整体评价,路况整体描述,拥堵路段,路段拥堵评价,较十分钟前拥堵趋势,拥堵距离,平均通行速度,,,
太白东路,2019/4/30,20,55,1,双向畅通,,,,0,,,55,4/30 20:55
太白东路,2019/4/30,21,5,1,双向畅通,,,,0,,,05,4/30 21:05
太白东路,2019/4/30,21,15,1,双向畅通,,,,0,,,15,4/30 21:15
太白东路,2019/4/30,21,25,1,双向畅通,,,,0,,,25,4/30 21:25
太白东路,2019/4/30,21,35,1,双向畅通,,,,0,,,35,4/30 21:35
太白东路,2019/4/30,21,45,1,双向畅通,,,,0,,,45,4/30 21:45
太白东路,2019/4/30,21,55,1,双向畅通,,,,0,,,55,4/30 21:55
太白东路,2019/4/30,22,5,1,双向畅通,,,,0,,,05,4/30 22:05
太白东路,2019/4/30,22,15,1,双向畅通,,,,0,,,15,4/30 22:15
太白东路,2019/4/30,22,25,1,双向畅通,,,,0,,,25,4/30 22:25
太白东路,2019/4/30,22,35,1,双向畅通,,,,0,,,35,4/30 22:35
太白东路,2019/4/30,22,45,1,双向畅通,,,,0,,,45,4/30 22:45
太白东路,2019/4/30,22,55,1,双向畅通,,,,0,,,55,4/30 22:55
太白东路,2019/4/30,23,5,1,双向畅通,,,,0,,,05,4/30 23:05
太白东路,2019/4/30,23,15,1,双向畅通,,,,0,,,15,4/30 23:15
太白东路,2019/4/30,23,25,1,双向畅通,,,,0,,,25,4/30 23:25
太白东路,2019/4/30,23,35,1,双向畅通,,,,0,,,35,4/30 23:35
太白东路,2019/4/30,23,45,1,双向畅通,,,,0,,,45,4/30 23:45
太白东路,2019/4/30,23,55,1,双向畅通,,,,0,,,55,4/30 23:55
太白东路,2019/5/1,0,5,1,双向畅通,,,,0,,,05,5/1 0:05
太白东路,2019/5/1,0,15,1,双向畅通,,,,0,,,15,5/1 0:15
太白东路,2019/5/1,0,25,1,双向畅通,,,,0,,,25,5/1 0:25
太白东路,2019/5/1,0,35,1,双向畅通,,,,0,,,35,5/1 0:35
太白东路,2019/5/1,0,45,1,双向畅通,,,,0,,,45,5/1 0:45
太白东路,2019/5/1,0,55,1,双向畅通,,,,0,,,55,5/1 0:55
太白东路,2019/5/1,1,5,1,双向畅通,,,,0,,,05,5/1 1:05
太白东路,2019/5/1,1,15,1,双向畅通,,,,0,,,15,5/1 1:15
太白东路,2019/5/1,1,25,1,双向畅通,,,,0,,,25,5/1 1:25
太白东路,2019/5/1,1,35,1,双向畅通,,,,0,,,35,5/1 1:35
太白东路,2019/5/1,1,45,1,双向畅通,,,,0,,,45,5/1 1:45
太白东路,2019/5/1,1,55,1,双向畅通,,,,0,,,55,5/1 1:55
太白东路,2019/5/1,2,5,1,双向畅通,,,,0,,,05,5/1 2:05
太白东路,2019/5/1,2,15,1,双向畅通,,,,0,,,15,5/1 2:15
太白东路,2019/5/1,2,26,1,双向畅通,,,,0,,,26,5/1 2:26
太白东路,2019/5/1,2,36,1,双向畅通,,,,0,,,36,5/1 2:36
太白东路,2019/5/1,2,46,1,双向畅通,,,,0,,,46,5/1 2:46
太白东路,2019/5/1,2,56,1,双向畅通,,,,0,,,56,5/1 2:56
太白东路,2019/5/1,3,6,1,双向畅通,,,,0,,,06,5/1 3:06
太白东路,2019/5/1,3,16,1,双向畅通,,,,0,,,16,5/1 3:16
太白东路,2019/5/1,3,26,1,双向畅通,,,,0,,,26,5/1 3:26
太白东路,2019/5/1,3,36,1,双向畅通,,,,0,,,36,5/1 3:36
太白东路,2019/5/1,3,46,1,双向畅通,,,,0,,,46,5/1 3:46
太白东路,2019/5/1,3,56,1,双向畅通,,,,0,,,56,5/1 3:56
太白东路,2019/5/1,4,6,1,双向畅通,,,,0,,,06,5/1 4:06
太白东路,2019/5/1,4,16,1,双向畅通,,,,0,,,16,5/1 4:16
太白东路,2019/5/1,4,26,1,双向畅通,,,,0,,,26,5/1 4:26
太白东路,2019/5/1,4,36,1,双向畅通,,,,0,,,36,5/1 4:36
太白东路,2019/5/1,4,46,1,双向畅通,,,,0,,,46,5/1 4:46
太白东路,2019/5/1,4,56,1,双向畅通,,,,0,,,56,5/1 4:56
太白东路,2019/5/1,5,6,1,双向畅通,,,,0,,,06,5/1 5:06
太白东路,2019/5/1,5,16,1,双向畅通,,,,0,,,16,5/1 5:16
太白东路,2019/5/1,5,26,1,双向畅通,,,,0,,,26,5/1 5:26
太白东路,2019/5/1,5,36,1,双向畅通,,,,0,,,36,5/1 5:36
太白东路,2019/5/1,5,46,1,双向畅通,,,,0,,,46,5/1 5:46
太白东路,2019/5/1,5,56,1,双向畅通,,,,0,,,56,5/1 5:56
太白东路,2019/5/1,6,6,1,双向畅通,,,,0,,,06,5/1 6:06
太白东路,2019/5/1,6,16,1,双向畅通,,,,0,,,16,5/1 6:16
太白东路,2019/5/1,6,26,1,双向畅通,,,,0,,,26,5/1 6:26
太白东路,2019/5/1,6,36,1,双向畅通,,,,0,,,36,5/1 6:36
太白东路,2019/5/1,6,46,1,双向畅通,,,,0,,,46,5/1 6:46
太白东路,2019/5/1,6,56,1,双向畅通,,,,0,,,56,5/1 6:56
太白东路,2019/5/1,7,6,1,双向畅通,,,,0,,,06,5/1 7:06
太白东路,2019/5/1,7,16,1,双向畅通,,,,0,,,16,5/1 7:16
太白东路,2019/5/1,7,26,1,双向畅通,,,,0,,,26,5/1 7:26
太白东路,2019/5/1,7,36,1,双向畅通,,,,0,,,36,5/1 7:36
太白东路,2019/5/1,7,46,1,双向畅通,,,,0,,,46,5/1 7:46
太白东路,2019/5/1,7,56,1,双向畅通,,,,0,,,56,5/1 7:56
太白东路,2019/5/1,8,6,1,双向畅通,,,,0,,,06,5/1 8:06
太白东路,2019/5/1,8,16,1,双向畅通,,,,0,,,16,5/1 8:16
太白东路,2019/5/1,8,26,1,双向畅通,,,,0,,,26,5/1 8:26
太白东路,2019/5/1,8,36,1,双向畅通,,,,0,,,36,5/1 8:36
太白东路,2019/5/1,8,47,1,双向畅通,,,,0,,,47,5/1 8:47
太白东路,2019/5/1,8,57,1,双向畅通,,,,0,,,57,5/1 8:57
太白东路,2019/5/1,9,7,1,双向畅通,,,,0,,,07,5/1 9:07
太白东路,2019/5/1,9,17,1,双向畅通,,,,0,,,17,5/1 9:17
太白东路,2019/5/1,9,27,1,双向畅通,,,,0,,,27,5/1 9:27
太白东路,2019/5/1,9,37,1,双向畅通,,,,0,,,37,5/1 9:37
太白东路,2019/5/1,9,47,1,双向畅通,,,,0,,,47,5/1 9:47
太白东路,2019/5/1,9,57,1,双向畅通,,,,0,,,57,5/1 9:57
太白东路,2019/5/1,10,7,1,双向畅通,,,,0,,,07,5/1 10:07
太白东路,2019/5/1,10,17,1,双向畅通,,,,0,,,17,5/1 10:17
太白东路,2019/5/1,10,27,1,双向畅通,,,,0,,,27,5/1 10:27
太白东路,2019/5/1,10,37,1,双向畅通,,,,0,,,37,5/1 10:37
太白东路,2019/5/1,10,47,1,双向畅通,,,,0,,,47,5/1 10:47
太白东路,2019/5/1,10,57,1,双向畅通,,,,0,,,57,5/1 10:57
太白东路,2019/5/1,11,7,1,双向畅通,,,,0,,,07,5/1 11:07
太白东路,2019/5/1,11,17,1,双向畅通,,,,0,,,17,5/1 11:17
太白东路,2019/5/1,11,27,1,双向畅通,,,,0,,,27,5/1 11:27
太白东路,2019/5/1,11,37,1,双向畅通,,,,0,,,37,5/1 11:37
太白东路,2019/5/1,11,47,1,双向畅通,,,,0,,,47,5/1 11:47
太白东路,2019/5/1,11,57,1,双向畅通,,,,0,,,57,5/1 11:57
太白东路,2019/5/1,12,7,1,双向畅通,,,,0,,,07,5/1 12:07
太白东路,2019/5/1,12,17,1,双向畅通,"东向西,太白东路附近",4,加重,430,8.73,,17,5/1 12:17
太白东路,2019/5/1,12,27,1,双向畅通,,,,0,,,27,5/1 12:27
太白东路,2019/5/1,12,37,1,双向畅通,,,,0,,,37,5/1 12:37
太白东路,2019/5/1,12,47,1,双向畅通,,,,0,,,47,5/1 12:47
太白东路,2019/5/1,12,57,1,双向畅通,,,,0,,,57,5/1 12:57
太白东路,2019/5/1,13,7,1,双向畅通,,,,0,,,07,5/1 13:07
太白东路,2019/5/1,13,17,1,双向畅通,,,,0,,,17,5/1 13:17
太白东路,2019/5/1,13,27,1,双向畅通,,,,0,,,27,5/1 13:27
太白东路,2019/5/1,13,37,1,双向畅通,,,,0,,,37,5/1 13:37
太白东路,2019/5/1,13,47,1,双向畅通,,,,0,,,47,5/1 13:47
太白东路,2019/5/1,13,57,1,双向畅通,,,,0,,,57,5/1 13:57
太白东路,2019/5/1,14,7,1,双向畅通,,,,0,,,07,5/1 14:07
太白东路,2019/5/1,14,17,1,双向畅通,,,,0,,,17,5/1 14:17
太白东路,2019/5/1,14,27,1,双向畅通,,,,0,,,27,5/1 14:27
太白东路,2019/5/1,14,37,1,双向畅通,,,,0,,,37,5/1 14:37
太白东路,2019/5/1,14,47,1,双向畅通,,,,0,,,47,5/1 14:47
太白东路,2019/5/1,14,58,1,双向畅通,,,,0,,,58,5/1 14:58
太白东路,2019/5/1,15,8,1,双向畅通,,,,0,,,08,5/1 15:08
太白东路,2019/5/1,15,18,1,双向畅通,"东向西,太白东路附近",3,加重,150,19.33,,18,5/1 15:18
太白东路,2019/5/1,15,28,1,双向畅通,,,,0,,,28,5/1 15:28
太白东路,2019/5/1,15,38,1,双向畅通,,,,0,,,38,5/1 15:38
太白东路,2019/5/1,15,48,1,双向畅通,,,,0,,,48,5/1 15:48
太白东路,2019/5/1,15,58,1,双向畅通,,,,0,,,58,5/1 15:58
太白东路,2019/5/1,16,8,1,双向畅通,,,,0,,,08,5/1 16:08
太白东路,2019/5/1,16,18,1,双向畅通,,,,0,,,18,5/1 16:18
太白东路,2019/5/1,16,28,1,双向畅通,,,,0,,,28,5/1 16:28
太白东路,2019/5/1,16,38,1,双向畅通,,,,0,,,38,5/1 16:38
太白东路,2019/5/1,16,48,1,双向畅通,,,,0,,,48,5/1 16:48
太白东路,2019/5/1,16,58,1,双向畅通,"西向东,兴隆路附近",3,加重,100,19.35,,58,5/1 16:58
太白东路,2019/5/1,17,8,1,双向畅通,,,,0,,,08,5/1 17:08
太白东路,2019/5/1,17,18,1,双向畅通,,,,0,,,18,5/1 17:18
太白东路,2019/5/1,17,28,1,双向畅通,,,,0,,,28,5/1 17:28
太白东路,2019/5/1,17,38,1,双向畅通,,,,0,,,38,5/1 17:38
太白东路,2019/5/1,17,48,1,双向畅通,,,,0,,,48,5/1 17:48
太白东路,2019/5/1,17,58,1,双向畅通,,,,0,,,58,5/1 17:58
太白东路,2019/5/1,18,8,1,双向畅通,,,,0,,,08,5/1 18:08
太白东路,2019/5/1,18,18,1,双向畅通,,,,0,,,18,5/1 18:18
太白东路,2019/5/1,18,28,1,双向畅通,,,,0,,,28,5/1 18:28
太白东路,2019/5/1,18,38,1,双向畅通,,,,0,,,38,5/1 18:38
太白东路,2019/5/1,18,48,1,双向畅通,,,,0,,,48,5/1 18:48
太白东路,2019/5/1,18,58,1,双向畅通,,,,0,,,58,5/1 18:58
太白东路,2019/5/1,19,8,1,双向畅通,,,,0,,,08,5/1 19:08
太白东路,2019/5/1,19,18,1,双向畅通,,,,0,,,18,5/1 19:18
太白东路,2019/5/1,19,28,1,双向畅通,,,,0,,,28,5/1 19:28
太白东路,2019/5/1,19,38,1,双向畅通,,,,0,,,38,5/1 19:38
太白东路,2019/5/1,19,48,1,双向畅通,,,,0,,,48,5/1 19:48
太白东路,2019/5/1,19,58,1,双向畅通,,,,0,,,58,5/1 19:58
太白东路,2019/5/1,20,8,1,双向畅通,,,,0,,,08,5/1 20:08
太白东路,2019/5/1,20,18,1,双向畅通,,,,0,,,18,5/1 20:18
太白东路,2019/5/1,20,28,1,双向畅通,,,,0,,,28,5/1 20:28
太白东路,2019/5/1,20,38,1,双向畅通,,,,0,,,38,5/1 20:38
太白东路,2019/5/1,20,49,1,双向畅通,,,,0,,,49,5/1 20:49
太白东路,2019/5/1,20,59,1,双向畅通,,,,0,,,59,5/1 20:59
太白东路,2019/5/1,21,9,1,双向畅通,,,,0,,,09,5/1 21:09
太白东路,2019/5/1,21,19,1,双向畅通,,,,0,,,19,5/1 21:19
太白东路,2019/5/1,21,29,1,双向畅通,,,,0,,,29,5/1 21:29
太白东路,2019/5/1,21,39,1,双向畅通,,,,0,,,39,5/1 21:39
太白东路,2019/5/1,21,49,1,双向畅通,,,,0,,,49,5/1 21:49
太白东路,2019/5/1,21,59,1,双向畅通,,,,0,,,59,5/1 21:59
太白东路,2019/5/1,22,9,1,双向畅通,,,,0,,,09,5/1 22:09
太白东路,2019/5/1,22,19,1,双向畅通,,,,0,,,19,5/1 22:19
太白东路,2019/5/1,22,29,1,双向畅通,,,,0,,,29,5/1 22:29
太白东路,2019/5/1,22,39,1,双向畅通,,,,0,,,39,5/1 22:39
太白东路,2019/5/1,22,49,1,双向畅通,,,,0,,,49,5/1 22:49
太白东路,2019/5/1,22,59,1,双向畅通,,,,0,,,59,5/1 22:59
太白东路,2019/5/1,23,9,1,双向畅通,,,,0,,,09,5/1 23:09
太白东路,2019/5/1,23,19,1,双向畅通,,,,0,,,19,5/1 23:19
太白东路,2019/5/1,23,29,1,双向畅通,,,,0,,,29,5/1 23:29
太白东路,2019/5/1,23,39,1,双向畅通,,,,0,,,39,5/1 23:39
太白东路,2019/5/1,23,49,1,双向畅通,,,,0,,,49,5/1 23:49
太白东路,2019/5/1,23,59,1,双向畅通,,,,0,,,59,5/1 23:59
太白东路,2019/5/2,0,9,1,双向畅通,,,,0,,,09,5/2 0:09
太白东路,2019/5/2,0,19,1,双向畅通,,,,0,,,19,5/2 0:19
太白东路,2019/5/2,0,29,1,双向畅通,,,,0,,,29,5/2 0:29
太白东路,2019/5/2,0,39,1,双向畅通,,,,0,,,39,5/2 0:39
太白东路,2019/5/2,0,49,1,双向畅通,,,,0,,,49,5/2 0:49
太白东路,2019/5/2,0,59,1,双向畅通,,,,0,,,59,5/2 0:59
太白东路,2019/5/2,1,9,1,双向畅通,,,,0,,,09,5/2 1:09
太白东路,2019/5/2,1,19,1,双向畅通,,,,0,,,19,5/2 1:19
太白东路,2019/5/2,1,29,1,双向畅通,,,,0,,,29,5/2 1:29
太白东路,2019/5/2,1,39,1,双向畅通,,,,0,,,39,5/2 1:39
太白东路,2019/5/2,1,49,1,双向畅通,,,,0,,,49,5/2 1:49
太白东路,2019/5/2,1,59,1,双向畅通,,,,0,,,59,5/2 1:59
太白东路,2019/5/2,2,9,1,双向畅通,,,,0,,,09,5/2 2:09
太白东路,2019/5/2,2,19,1,双向畅通,,,,0,,,19,5/2 2:19
太白东路,2019/5/2,2,29,1,双向畅通,,,,0,,,29,5/2 2:29
太白东路,2019/5/2,2,39,1,双向畅通,,,,0,,,39,5/2 2:39
太白东路,2019/5/2,2,49,1,双向畅通,,,,0,,,49,5/2 2:49
太白东路,2019/5/2,2,59,1,双向畅通,,,,0,,,59,5/2 2:59
太白东路,2019/5/2,3,9,1,双向畅通,,,,0,,,09,5/2 3:09
太白东路,2019/5/2,3,19,1,双向畅通,,,,0,,,19,5/2 3:19
太白东路,2019/5/2,3,29,1,双向畅通,,,,0,,,29,5/2 3:29
太白东路,2019/5/2,3,39,1,双向畅通,,,,0,,,39,5/2 3:39
太白东路,2019/5/2,3,49,1,双向畅通,,,,0,,,49,5/2 3:49
太白东路,2019/5/2,4,0,1,双向畅通,,,,0,,,00,5/2 4:00
太白东路,2019/5/2,4,10,1,双向畅通,,,,0,,,10,5/2 4:10
太白东路,2019/5/2,4,20,1,双向畅通,,,,0,,,20,5/2 4:20
太白东路,2019/5/2,4,30,1,双向畅通,,,,0,,,30,5/2 4:30
太白东路,2019/5/2,4,40,1,双向畅通,,,,0,,,40,5/2 4:40
太白东路,2019/5/2,4,50,1,双向畅通,,,,0,,,50,5/2 4:50
太白东路,2019/5/2,5,0,1,双向畅通,,,,0,,,00,5/2 5:00
太白东路,2019/5/2,5,10,1,双向畅通,,,,0,,,10,5/2 5:10
太白东路,2019/5/2,5,20,1,双向畅通,,,,0,,,20,5/2 5:20
太白东路,2019/5/2,5,30,1,双向畅通,,,,0,,,30,5/2 5:30
太白东路,2019/5/2,5,40,1,双向畅通,,,,0,,,40,5/2 5:40
太白东路,2019/5/2,5,50,1,双向畅通,,,,0,,,50,5/2 5:50
太白东路,2019/5/2,6,0,1,双向畅通,,,,0,,,00,5/2 6:00
太白东路,2019/5/2,6,10,1,双向畅通,,,,0,,,10,5/2 6:10
太白东路,2019/5/2,6,20,1,双向畅通,,,,0,,,20,5/2 6:20
太白东路,2019/5/2,6,30,1,双向畅通,,,,0,,,30,5/2 6:30
太白东路,2019/5/2,6,40,1,双向畅通,,,,0,,,40,5/2 6:40
太白东路,2019/5/2,6,50,1,双向畅通,,,,0,,,50,5/2 6:50
太白东路,2019/5/2,7,0,1,双向畅通,,,,0,,,00,5/2 7:00
太白东路,2019/5/2,7,10,1,双向畅通,,,,0,,,10,5/2 7:10
太白东路,2019/5/2,7,20,1,双向畅通,,,,0,,,20,5/2 7:20
太白东路,2019/5/2,7,30,1,双向畅通,,,,0,,,30,5/2 7:30
太白东路,2019/5/2,7,40,1,双向畅通,,,,0,,,40,5/2 7:40
太白东路,2019/5/2,7,50,1,双向畅通,,,,0,,,50,5/2 7:50
太白东路,2019/5/2,8,0,1,双向畅通,,,,0,,,00,5/2 8:00
太白东路,2019/5/2,8,10,1,双向畅通,,,,0,,,10,5/2 8:10
太白东路,2019/5/2,8,20,1,双向畅通,,,,0,,,20,5/2 8:20
太白东路,2019/5/2,8,30,1,双向畅通,,,,0,,,30,5/2 8:30
太白东路,2019/5/2,8,40,1,双向畅通,,,,0,,,40,5/2 8:40
太白东路,2019/5/2,8,50,1,双向畅通,,,,0,,,50,5/2 8:50
太白东路,2019/5/2,9,0,1,双向畅通,,,,0,,,00,5/2 9:00
太白东路,2019/5/2,9,10,1,双向畅通,,,,0,,,10,5/2 9:10
太白东路,2019/5/2,9,20,1,双向畅通,,,,0,,,20,5/2 9:20
太白东路,2019/5/2,9,30,1,双向畅通,,,,0,,,30,5/2 9:30
太白东路,2019/5/2,9,40,1,双向畅通,,,,0,,,40,5/2 9:40
太白东路,2019/5/2,9,50,1,双向畅通,,,,0,,,50,5/2 9:50
太白东路,2019/5/2,10,1,1,双向畅通,,,,0,,,01,5/2 10:01
太白东路,2019/5/2,10,11,1,双向畅通,,,,0,,,11,5/2 10:11
太白东路,2019/5/2,10,21,1,双向畅通,,,,0,,,21,5/2 10:21
太白东路,2019/5/2,10,31,1,双向畅通,,,,0,,,31,5/2 10:31
太白东路,2019/5/2,10,41,1,双向畅通,,,,0,,,41,5/2 10:41
太白东路,2019/5/2,10,51,1,双向畅通,,,,0,,,51,5/2 10:51
太白东路,2019/5/2,11,1,1,双向畅通,,,,0,,,01,5/2 11:01
太白东路,2019/5/2,11,11,1,双向畅通,,,,0,,,11,5/2 11:11
太白东路,2019/5/2,11,21,1,双向畅通,"西向东,从太白东路辅路路口到太白东路辅路",3,加重,120,18.6,,21,5/2 11:21
太白东路,2019/5/2,11,31,1,双向畅通,,,,0,,,31,5/2 11:31
太白东路,2019/5/2,11,41,1,双向畅通,,,,0,,,41,5/2 11:41
太白东路,2019/5/2,11,51,1,双向畅通,,,,0,,,51,5/2 11:51
太白东路,2019/5/2,12,1,1,双向畅通,,,,0,,,01,5/2 12:01
太白东路,2019/5/2,12,11,1,双向畅通,,,,0,,,11,5/2 12:11
太白东路,2019/5/2,12,21,1,双向畅通,,,,0,,,21,5/2 12:21
太白东路,2019/5/2,12,31,1,双向畅通,,,,0,,,31,5/2 12:31
太白东路,2019/5/2,12,41,1,双向畅通,,,,0,,,41,5/2 12:41
太白东路,2019/5/2,12,51,1,双向畅通,,,,0,,,51,5/2 12:51
太白东路,2019/5/2,13,1,1,双向畅通,,,,0,,,01,5/2 13:01
太白东路,2019/5/2,13,11,1,双向畅通,,,,0,,,11,5/2 13:11
太白东路,2019/5/2,13,21,1,双向畅通,,,,0,,,21,5/2 13:21
太白东路,2019/5/2,13,31,1,双向畅通,,,,0,,,31,5/2 13:31
太白东路,2019/5/2,13,41,1,双向畅通,,,,0,,,41,5/2 13:41
太白东路,2019/5/2,13,51,1,双向畅通,,,,0,,,51,5/2 13:51
太白东路,2019/5/2,14,1,1,双向畅通,,,,0,,,01,5/2 14:01
太白东路,2019/5/2,14,11,1,双向畅通,,,,0,,,11,5/2 14:11
太白东路,2019/5/2,14,21,1,双向畅通,,,,0,,,21,5/2 14:21
太白东路,2019/5/2,14,31,1,双向畅通,"西向东,从太白东路辅路路口到太白东路辅路",3,加重,120,18.6,,31,5/2 14:31
太白东路,2019/5/2,14,41,1,双向畅通,,,,0,,,41,5/2 14:41
太白东路,2019/5/2,14,51,1,双向畅通,,,,0,,,51,5/2 14:51
太白东路,2019/5/2,15,1,1,双向畅通,,,,0,,,01,5/2 15:01
太白东路,2019/5/2,15,11,1,双向畅通,,,,0,,,11,5/2 15:11
太白东路,2019/5/2,15,21,1,双向畅通,,,,0,,,21,5/2 15:21
太白东路,2019/5/2,15,31,1,双向畅通,,,,0,,,31,5/2 15:31
太白东路,2019/5/2,15,41,1,双向畅通,,,,0,,,41,5/2 15:41
太白东路,2019/5/2,15,51,1,双向畅通,,,,0,,,51,5/2 15:51
太白东路,2019/5/2,16,1,1,双向畅通,,,,0,,,01,5/2 16:01
太白东路,2019/5/2,16,11,1,双向畅通,,,,0,,,11,5/2 16:11
太白东路,2019/5/2,16,21,1,双向畅通,,,,0,,,21,5/2 16:21
太白东路,2019/5/2,16,31,1,双向畅通,,,,0,,,31,5/2 16:31
太白东路,2019/5/2,16,41,1,双向畅通,,,,0,,,41,5/2 16:41
太白东路,2019/5/2,16,51,1,双向畅通,,,,0,,,51,5/2 16:51
太白东路,2019/5/2,17,1,1,双向畅通,,,,0,,,01,5/2 17:01
太白东路,2019/5/2,17,12,1,双向畅通,,,,0,,,12,5/2 17:12
太白东路,2019/5/2,17,22,1,双向畅通,,,,0,,,22,5/2 17:22
太白东路,2019/5/2,17,32,1,双向畅通,,,,0,,,32,5/2 17:32
